Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Mindaugas                Zukauskas                         3         6         6         4        10         9         7         8         4         7         1         5         6         1         4         6
Greta                    Stankevicius                      1         1        10         3         6         8         8         7         8         5         7         1         3         7         7         8
Mindaugas                Vasiliauskas                      4         5         6         9         9         2         5         9         3         5         2         5        10         9         2         1
Ruta                     Stankevicius                      7         1         6         3         7         4         1         8         7         5         6         1         2         7         5         1
Antanas                  Stankevicius                      2         2        10         3         9         8         3         6        10         2         9         3         9         7         9         8
Jurate                   Stankevicius                      4         5         3         9         5         4         1         4         8         9         3         3         6         3         4        10
Ona                      Zukauskas                         5         3         6        10         4         9         6         1         9         1         5         2        10         9         7         4
Petras                   Kazlauskas                        7         5         6         1         3         7         7         6         4         7         1         2         2         4         1         5
Ona                      Stankevicius                      6         8         2         2         4         2         5         9        10         9         4         1         2         2         7         4
Ruta                     Jankauskas                        6         2         7         1         1         9         5         4         2         9         4         4         8         7         4         3
Jonas                    Jonaitis                          7         7         5        10        10         2         3         7         5         1         8         5         1         4        10         2
Antanas                  Kazlauskas                        8         6         7         2         4         3         6         3         4         9         7         3         5         7         2         4
Jonas                    Stankevicius                      9         1         9         1         5         3         2        10         3        10         7         1         1        10         5         5
Ruta                     Petraitis                         6         7         3         6         9         4         6         4         6         8         5        10         9         1         3         1
Jonas                    Baranauskas                       4         3         8         1        10         2         9        10         5         4         5         2         3         9         4         7
Antanas                  Jonaitis                          5         3         1         7         2         3         8         3         1         8         8         7         2         9         9         6
Antanas                  Petraitis                         3         5         3         5         2         7         9         2         6        10         4         5         3         7         2         4
Petras                   Antanaitis                        2        10         6         4         2        10         7         8         1         5         7         4         2         8         7         6
Tomas                    Petraitis                         8         5         8         1         1         5         5        10        10         8         3         1         6        10         1         5
Antanas                  Stankevicius                      5         6         5         1         5         5         1         9         9         2         1         9         4         1         6         4
Jurate                   Kazlauskas                        9        10         2         2         5         2         9         1         7         3         1         1         9         4         1        10
Greta                    Paulauskas                       10         5         4         2         6         2         2         5         4         3         1         5         1         1         3         3
Ona                      Jonaitis                          3        10         5         5         3         2         2         1        10         3         5         3         6         2         6         5
Tomas                    Stankevicius                      8         2         7        10         1         2         6         5         5         9         7         4         4         1         6         9
Ruta                     Zukauskas                         8         1         9         7         9         1         1         2         9         4         1        10         4         4         6         1
Greta                    Stankevicius                      4         7         3         4         8         9         5         8         1         8         6         5         8         6        10         6
Antanas                  Antanaitis                        6         9         5         2         5         7         5         1         9         9        10         9         5         8         2        10
Petras                   Zukauskas                         9         4         3         8         8         4         4         6         8         6         5         8         6         5         4         6
Antanas                  Jankauskas                        1         3         9         2         2        10         7         4         7         6         9         2         1         9         7         6
Tomas                    Stankevicius                      7         3         9        10         6         5         3         9         4         4         2         3         2         6         1         2
Tomas                    Jankauskas                        7         5         5         3         4         1         5         4         2         3         9         4         3         4         9         2
Marija                   Jankauskas                        1         5         2        10        10         5         3         8         1        10         2         5         2         6         5        10
Ruta                     Jonaitis                          2         1         8        10         7         8         6        10        10         5         5         2         4         5         3         9
Ona                      Baranauskas                       3         8         4         3         1         4         1        10         2         8         5         2         7         1         8         7
Jonas                    Kazlauskas                        6         5         7         3         9         1         2         3         3         3         8         3         2         2         1         4
Ruta                     Zukauskas                         4         4         4         1        10         9         7         6         2         6         6         5        10         8         7         9
Ruta                     Antanaitis                        9         7         6         3         4         1         7         5         4         1        10         6         2         8         3         1
Ruta                     Jonaitis                          9         7         4         9         1         4         4         4         5         1         1         7         6         1         4        10
Petras                   Jankauskas                        1         7         2         6         7         6         1         7         3         7         5         3        10         1         8         6
Jurate                   Jonaitis                          7         3         6         2         9         6        10         2         3         6         7         4         2         9        10         8
Ruta                     Kazlauskas                        3         4         4         9         8         1         2         8         9         3         9         3         8         5         6         1
Petras                   Jankauskas                        1         9         7         8         3         2         3         4         9         5         5         6         5        10         4         7
Mindaugas                Paulauskas                        3         5         1         4         6         8         7         6         5         9         6         3         8         1         4        10
Greta                    Kazlauskas                        9         4         8         8         5         3         7         2         6        10         8         6         5         5         5         4
Petras                   Antanaitis                        3         1         7         3         1         8         1         6         7         8         2         9         7         3         6         1
Jurate                   Antanaitis                        9         1         6         8         8         6         3        10         5         5         2         4         5         7        10         3
Ona                      Jonaitis                          4         4        10         4         4         5         4         4         2         6         3         6        10         5         9         1
Jurate                   Antanaitis                        8         8        10         3         5         5         7        10         4         2         5        10         5         8         3         1
Petras                   Antanaitis                        3         4         7         1         4         4         8         5         9         4         1         5         3         4         8         1
Mindaugas                Zukauskas                         8         9         9         8         7         2         9         8         1         1         3         9         3         9         4         5
Antanas                  Antanaitis                        5         7        10         3         7         7         1        10         7         1        10        10         3        10         4         2
Jonas                    Kazlauskas                        6         8         5         4         9        10         1         8         2         2         4         2         2         5         7         6
Jonas                    Vasiliauskas                      4        10         4         4         6         2        10         1        10         1         3         7         3         5         3         9
Jurate                   Stankevicius                      8         1         4         2         1         2         7        10         5         2         7         6         3         8         8         9
Marija                   Baranauskas                       3         7         7         8         1         4         5         2         7         8         4         8         6         3         5         6
Tomas                    Baranauskas                       6         2        10         4         8         2         3         4         1         3         9         5         6         6         4         2
Ruta                     Zukauskas                         1         1         4         7        10         1         5         3         1        10        10         4         2         5         5         9
Tomas                    Antanaitis                        7         4         8         7         1         2        10         1         5         6         2         8        10         4        10         1
Greta                    Zukauskas                         3         4         8        10         7         5         8         7         8         7        10         4         5         1         1         3
Jurate                   Paulauskas                        6        10         7         3         2         2         7         9         1         5         5        10         2         4         7         2
Antanas                  Stankevicius                      4         1         4         3         1        10         3         9         4         4        10         2         5         2         7         3
Jonas                    Petraitis                         4         6         5         1         9         8         5         4         7        10         4         1         3         6         2        10
Ona                      Kazlauskas                        5         9        10         6         5         1         7        10         4         2         6         5        10         6         1         5
Ona                      Petraitis                         2         2         4        10        10         2         6        10         4         1         4         4         7         5        10         3
Greta                    Petraitis                         4         4         2         9         4         2        10         8         7         1         7         9         6         6         2         4
Mindaugas                Jonaitis                          7         7         6         7         6         3        10        10         4        10         5         6         1         2         2         7
Jonas                    Baranauskas                       2         4         3        10         1         9         5         3        10         6         9         2         1         6         2         2
Marija                   Vasiliauskas                     10        10         9         1         6         3         2         2         5         3         2         5         7         5         7         5
Antanas                  Zukauskas                         5        10         9         9         9         9         1         8        10         9        10         6         4         3         7         8
Greta                    Zukauskas                         7        10         3         7         7         8         6         7         8         4         5         8         4         4         8         8
Antanas                  Jonaitis                         10         1         4         8         2         5         6         1         8         4         9         7        10         5         4         1
Ona                      Jonaitis                          6         5         5         4         3         2         3         5         5         2         6         2        10         8         9         3
Antanas                  Paulauskas                        4        10        10         3         4         8         7         7         5         1         2         8         5         3         3         7
Jonas                    Paulauskas                       10         2         6         3         2         7         5         7        10         5         6         3        10         6         9         6
Tomas                    Baranauskas                       9         6        10         6         9         7         5        10         3         9         4         9         4        10         1         2
Greta                    Stankevicius                      4         7        10         4         7         9         9         6         6        10         4         2         1         8        10         3
Marija                   Paulauskas                        5         3         8         1         2         1         9         2         1         4         7        10         8         8         1         5
Ona                      Baranauskas                       7        10         8         5         2         4         7         9         7        10         1         5         2         1         1         6
Greta                    Jonaitis                          9         7         6         6         6         5         6        10         8         9         8         6         7         7         8        10
Marija                   Baranauskas                       8         6         8         1         5         6         6         2         1         2         7         2         9         8         9         8
Jurate                   Kazlauskas                        6         2        10         5        10         9         7         4         5         2         7         7         5         6         9         8
Ona                      Antanaitis                        6         7         5         7         9         1         6         9         8         1         5         1         8         2         6         7
Antanas                  Petraitis                         2         8         2         4         3         8         3         8         7         9         5         7         9         2         5         2
Jurate                   Antanaitis                        3         8         9         8         7         1         7         8         6        10         8        10         7         6         8        10
Antanas                  Kazlauskas                        7         9         4         3         2         7         3        10         4         9         2         1         8         9        10         6
Tomas                    Stankevicius                      3         1         2         4         7         2         9         1         3         5         3         4         9         3         6         8
Jonas                    Jonaitis                          3         1         1         3         4         1         6         9         9         7         7        10         1         2         4         4
Ona                      Petraitis                         8        10         2         9         2         2        10         7         7         2         2         5         1         1         4         7
Greta                    Jonaitis                         10         3         8         7         2         9         8         6         3         9         4         9        10         7         6         5
Greta                    Paulauskas                        6         2         6         7         6         5         6        10         6         5         5         8         3        10         8         9
Marija                   Jankauskas                        7         9         3        10         6         2         6         2         7         5         7         3         1         6         5         5
Greta                    Jankauskas                        5         1         8         5         9         1         7         5         6         5         5         9         5         2         2        10
Greta                    Kazlauskas                        6         7         3         5         5         2        10         8         8        10         7         3        10         7         1         8
Tomas                    Antanaitis                        4         4         4         9         2         6         5         9        10         6         6         9         7         4         3         5
Tomas                    Jonaitis                          4         8         8         2         7         1         6         2         1         9        10         7         7         9         3         3
Marija                   Vasiliauskas                      4         7        10         7        10        10         6         1         6         6         8         9         8         9         8         9
Marija                   Paulauskas                       10         6        10         9         9         8        10         7         9         9         2         1         6         9         9         8
Ona                      Stankevicius                      7         8         1         6         7         7         8         1         6         3        10         4         1         7         4         9
Ruta                     Paulauskas                       10         2         7         7         2         4         3        10         2         4         6         4         5         1         7         4
Marija                   Kazlauskas                        1         2         4         1         2         7         9        10         8         4         5         7         7         8         4         5
Antanas                  Kazlauskas                        9         9         1         7         7         9         3         2         3         3         6         8         5         9         4         5
Antanas                  Stankevicius                      9         9         5         8         6         5         9         8         2         5         6         6         9         8         8         3
Marija                   Paulauskas                        7         7         4         5         7         3        10         4         8         6         4         5         7         1         3         3
Marija                   Vasiliauskas                      4         6         4        10         9         8         6         3         9         1         2         5         5         9         3         2
Ona                      Jonaitis                          1         4         3         4         1         8         3        10         7        10         2         6        10         4         2         9
Jurate                   Petraitis                         5         3         9         3        10         8         5         6        10        10        10         3         1         7         7         6
Petras                   Antanaitis                        4         6         2        10         3         9         4         1         1         4         8         7         9         7         9         6
Mindaugas                Jonaitis                          2         6         2         6         8        10         2         4         4         3         6         4         6         6         6         1
Jonas                    Zukauskas                         6         1         4         7         6         5         5         4         7         8         7         2        10         2         7         3
Tomas                    Vasiliauskas                      6         7         5        10         2         6         5        10         3         2         4         6        10         1         4         2
Antanas                  Petraitis                        10         9         7         8         5         1         9         8         8         4         8         1         7         3         8         7
Jurate                   Jankauskas                        4         9         2         4         5         9         9         7        10         8         7         3         7         7         1         2
Greta                    Kazlauskas                       10         5         1         4         7         6         4         9        10        10         9        10         8         8         7         6
Marija                   Petraitis                         4         8         6         1         9         1         7         4         4         7         3         5         6         4         2         4
Ona                      Jonaitis                          8         3        10         7         1         4         5         6         4         5         8        10        10         3         7         8
Ona                      Paulauskas                        6         8         4         1         8         7         8         2         7         7         2        10         3         9         3         4
Tomas                    Jankauskas                        5        10         4         7         9         2         4         4         7         3         9         8         2         6         7         4
Marija                   Petraitis                         3         8         1         1         2         2         6         6         3         1         2         4         3         8         9         3
Jonas                    Baranauskas                       3         1         4        10         5         8         3         5         8         5         6         2         2         3         6         9
Ona                      Paulauskas                        3         3         4         2         1         7         2         4         8         9         2        10         5         1         6         9
Greta                    Petraitis                         2         6         8         9        10        10         5         1         1         3         3         6        10         3         9         8
Petras                   Paulauskas                        9         3         2        10         1        10         2         4         7         9         5         6         1         9         7        10
Antanas                  Jonaitis                          9        10        10         6         2         7         8         6         6         2         7         7         3         8        10         1
Jurate                   Kazlauskas                        3         2         7         2         4         1        10         6         1         9         7         6         3         4         6         1
Greta                    Jonaitis                          1         8         6         3        10         5         7         1         1         8         4         4        10        10         4         7
Greta                    Jankauskas                       10         3         2         9         1         4         8         5        10         9         7         9         2        10         8        10
Antanas                  Kazlauskas                        7         5         6         1         6         7         3         9         6         3         4         3         9         3         1        10
Jurate                   Antanaitis                        4         4        10         6         1         3         1         8         7         6        10         4         5         4         4         5
Greta                    Vasiliauskas                      8         8         4         2         7         9         4         9         1         1         7         9        10         2         3         7
Jurate                   Zukauskas                         3         2         5         5         2        10         4         9         9         1         4        10         7         5         6         4
Tomas                    Zukauskas                         6        10         7         7         2         9        10         6         6         1         7         9         2         6         1         6
Ona                      Paulauskas                       10         1         8         9         6         5         1         5         4         8         6        10         4         7         1         9
Marija                   Kazlauskas                        2        10         2         7         9         2         7         7         7         3         9         1         6         8         8         6
Mindaugas                Antanaitis                        6         2         5         7         5         3         5         6         1         3         2         3         1         4         1         6
Greta                    Antanaitis                        4         8        10         7         5         3         3         1         7         5         7         4         8         9         5         8
Greta                    Jonaitis                          5         6         9         9         4         2         2         4         3         8        10         5         2         3         3        10
Ruta                     Jonaitis                          3         9         6         6         9         1         6         8         5         2         6         3         7        10         6         6
Petras                   Petraitis                         9         2         9         2         9         3         5         9         8        10         9         8         6         6         4         6
Ruta                     Kazlauskas                        6        10         2         6         7         9         9         3         6         7         7         5        10         5         7         8
Marija                   Zukauskas                         7         6         7         5         3         7         8         9         5         6         9         9         2         7         5         4
Jurate                   Jankauskas                        7         8         4         9         1         8         5         8         4        10        10         2         9        10         6         1
Ona                      Baranauskas                       3         6        10         9         5        10         7         2         3         5         4        10         9         1         5         5
Greta                    Antanaitis                        2        10         9         6         7        10         6         2         9         2         3         3         8         7         4         7
Ruta                     Vasiliauskas                      8         7         7         8         7         2         2         8         2         7         5         3         3         6         3         8
Jurate                   Baranauskas                       3         3         2         8         2         1         7         2         7        10         3         5         4         9         9         5
Jurate                   Antanaitis                        9         2         7         7         4         1         2         8         1         3         8         7         4         6         8         6
Mindaugas                Baranauskas                       9         2         4         3         6         2         4         5         8        10         5         9         7         5         4         1
Jurate                   Antanaitis                        5         9         7         6        10         8         7         3        10         5         6         6         9         5         5         9
Ona                      Kazlauskas                        8         8         5        10         1         1         4         3         8         2        10         3         3         7         1         1
Tomas                    Stankevicius                      6         8         4         4         4         3         6         5         6         8         2         9         7         6         1         5
Ona                      Stankevicius                      9         8         4         8         8         2        10         9         8         8         6         1         1         1         3         9
Mindaugas                Zukauskas                        10         2         7        10         9         7         7         2         7         6         3         6         4        10         3         9
Jonas                    Baranauskas                       1         6         6         5         4         7         3         1         5         6         9        10         8         4         6         5
Greta                    Vasiliauskas                      9         9         9         7         6         4        10         1         9         2         7         4         6         2        10         6
Greta                    Kazlauskas                        6         8         8         6         2         9         3        10         7         1         6         4         6         7         4         4
Ona                      Vasiliauskas                      9         5         2         3         2         6        10         4         1         7         2         9        10         2         1         2
Greta                    Stankevicius                      2        10         4         7         5         5         4         5         2         6         7         5         1         8         9         3
Marija                   Jankauskas                        1        10         3         2         6        10         6         2         5         3         3        10         1        10         3        10
Ruta                     Stankevicius                      7         5         5         8         8         9         3         9         6         7         3         8         1         3         9         6
Greta                    Paulauskas                        2         9         7         7         9         8         7         4         4         3         9         9         1         8         9         9
Ona                      Stankevicius                      5         7         4         8         7         3         4         6        10         1         9         4         3         9         4         4
Ona                      Stankevicius                      4         6         4         3        10         1         8         8         9        10         1         4         2         3         5         2
Tomas                    Jankauskas                        9         9         3         7         9         5         1         9        10         6         3         4         5         5         4         5
Marija                   Antanaitis                        4         7         5         6         9         7         8        10         8        10         6         6         7         6         4         5
Mindaugas                Jonaitis                          5         3         7         3         1         6         7         4         1         3         1         8         4         7         6         8
Antanas                  Jankauskas                        5         6        10         8         2         4         6         6         4         3         2        10         4         6        10         5
Jonas                    Vasiliauskas                      7         3         6         2         8         3         3         5         6         7         2         1         2         5         4         8
Jonas                    Stankevicius                     10         5         2        10        10        10         5         4         9         8         9        10         7         3         3         9
Antanas                  Stankevicius                      1         4         9         8         5         8         8         9         1         9         1        10         4         4         8         9
Antanas                  Kazlauskas                        5        10         8         4         1         8         8         5         6         8         9         4         8         3         3         8
Tomas                    Kazlauskas                        9         2         2         4         1         4         1         2         8         5         3         6        10         4         5         3
Tomas                    Baranauskas                       6         3         4         1         7         5         9        10         9         2         1         2         4         4        10        10
Greta                    Paulauskas                        2         9         9         7         3         1         5         8         3        10         8         1         7         8         2         7
Ona                      Jonaitis                          4         5         3         7         7         1         7         1         2         7         1        10         9         1         7         2
Mindaugas                Antanaitis                        6         1         9         4         5         2         9         7         8         5         9         7         5         3         5         8
Jurate                   Petraitis                         1         5         5         9         3         7         6         5         5         9        10         9         7         8         6         4
Petras                   Paulauskas                       10         6         5         7         7         1         7         4         8         7         8         4         2         2         8         4
Jonas                    Antanaitis                        1         9        10         1         7         4         2        10         6         3         8         2         9         4         5         6
Mindaugas                Paulauskas                        7         6         4         7         5         4         4         8         6         5         6         8         2         9         9         2
Mindaugas                Antanaitis                        8         1        10         1         5         4         9        10         7         5         6         1         8         3         8         6
Ona                      Baranauskas                       6         2         5         7         3         5         3         6         5         4         3        10         9         5         9         5
Antanas                  Petraitis                         7         5         4        10         3        10         3         9         8         6         6        10         1        10         5         3
Ona                      Jonaitis                         10         4         5         2         1         4         5         7         8         1         9         2        10         1         1         3
Ruta                     Stankevicius                     10         6         6         9         2         7         2         5         8         6         1         9         6         4         6         8
Petras                   Kazlauskas                        4         3         7         1         2         4         8        10         7         6         1         1         4         6         4         8
Marija                   Jonaitis                          8         7         6         2         3         2         6         7         7         9         9         5         1        10         8         9
Mindaugas                Vasiliauskas                      3         5         4        10         5        10         6         6         3         9         3         1         8         2         9         5
Petras                   Kazlauskas                        9         8         8         5         1        10         9         1         7         5         5         5         7         5         2         8
Greta                    Antanaitis                        2         8         6         9         8         2         2         7         1         4         3         7         8         7         3         6
Marija                   Jonaitis                         10         3         4         9         5         3         6         5        10         8         8         6         8         1         8         5
Marija                   Baranauskas                       6         3         2         9         2         4         5         5         4         7        10         4         3         3        10         7
Greta                    Petraitis                         7         9         9         5         6         4         5        10         7        10         4         9         8         6         4         7
Marija                   Baranauskas                       4         7         8         3         6         3         2         5         1        10         1         8         3         6         9         9
Greta                    Zukauskas                        10         2         6         5         7         7        10         4         6         2         1        10         3         7         2         3
Ona                      Baranauskas                       1        10         1         7         9         6         7         9         9         6         1         4         2         7        10         9
Marija                   Baranauskas                       6        10         7         4         4         4         4         7         5         4         3         5         9         9         4         7
Tomas                    Paulauskas                        4         9         6        10         4         6         7         7         9         2         2         7         9         8        10         4
Antanas                  Jankauskas                        4         7         3         9         3         1         4         2         4         9        10         3        10         2         4         8
Jurate                   Petraitis                        10         4         2         3         4        10         1         9         9         3         7         1         6         1         4         1
Ruta                     Vasiliauskas                      7        10         3         5         6         6         9         6        10         1        10         5         2        10         4         4
Petras                   Zukauskas                         9         9         3         8         7         5        10         2         2         6         2         9         5         2         1        10
Ruta                     Jankauskas                        7         3        10         7         3         2         1         3         2         1         7         9         7         3        10        10
Greta                    Zukauskas                         2         2         7         7         1         2        10         1         9         5         2         7         7         3         7         7
Jonas                    Jankauskas                        5         4         4         9         7         8         5         6         8         9         5        10         9         9         1         9
Ona                      Stankevicius                      2         4         4         6        10        10         7         8         7         1         3         6         1         8         5         5
Ruta                     Jankauskas                        9         5         4         8         7         6         2         9        10         8         6         9         7         2         6         5
Ona                      Zukauskas                         6         7         7        10         2         4         7         7         8         7         6         5         2         6         3         9
Marija                   Petraitis                         3         2         7         2         1         5         7         9         1         7        10         5         5         8         2         7
Jonas                    Jankauskas                        8         2         5         5         6         3         7         4         8         8        10         1         8         4         8         8
Jurate                   Paulauskas                        3         4         2        10         7         9         3         4         5         8         8         1         2         5        10         6
Antanas                  Jankauskas                        7         3         9        10         4        10         2         8         5         5         7         3         5         2         6         9
Ruta                     Vasiliauskas                      9         3         1        10         6         7         2         4         8         7         5         1         5         9         5         4
Antanas                  Petraitis                         3        10         5         5        10         6        10         6         8         5         5         6        10         5        10         9
Mindaugas                Vasiliauskas                      5         2         9         3        10        10         8         3         6        10         5         2         6         4         7         3
